Burn sample, txid: ad49f7952ae74055b8f55f138e61d657159ec5d6a610a966cedcc77ff90d5e0d, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 20000]
Burn sample, txid: bf1d12ff781ec040d46b77474fdef72061a0c4f1010655e702155d24be661f65, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000]
Burn sample, txid: f30f0e2fc41a6c138dbb262e9b611d3afba3adc32f57ce93909ef1a8c0900124, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 0cf820cacf929cb7ca8f1d385e65ac9f81f755a5bfe59aab83ef5236e402aa0e, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: cca5fae2322a6a25c93d03d3032883d75f53a44b05a17b6a885cdc944a071c63, most_recent_burn: 55562, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 55562]
Burn sample, txid: f79476380a347b7ae66e99e3fe8fa4ade7c853f795b22f5d3abaa2959ac94837, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 05a31f5730348bc3305d06fb5ac04b1cd9711c1c9c8b21f089d7476840de09fd, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 1, 20000, 20000, 20000, 20000]
Burn sample, txid: 73dda044f2f9ca957174aa3917b37e40260b7f39645f04ae68411bcbbe2bfa7b, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 20000]
Burn sample, txid: 9d236722c5a5151ee8f92e15b246655f73f56a55d142471a029fc91d78d93462, most_recent_burn: 65552, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 65552]
Burn sample, txid: cf1b23b0e4c680b55e315b8108c4db594da57a94b396ddcfd0677e56e56a89fb, most_recent_burn: 20000, median_burn: 1, all_burns: [1, 1, 1, 1, 20000, 20000]
Burn sample, txid: 06c55f015ad333ff19b48948fdbd18cc844e6c231ada7c799fecc5bcfc8a0834, most_recent_burn: 65552, median_burn: 1, all_burns: [1, 1, 1, 1, 1, 65552]
Burn sample, txid: 80bf302af4d2250a67801d4db34f4b9db6fd2166d40c71f3fa157687dfcf3974, most_recent_burn: 20000, median_burn: 10000, all_burns: [1, 1, 1, 20000, 20000, 20000]
Burn sample, txid: a7038d5b5ac2520617d0c6aac523417b7d6d80bd4951313eb07375483632b318, most_recent_burn: 65552, median_burn: 1, all_burns: [1, 1, 1, 1, 65552, 65552]
Burn sample, txid: 1628ed38e500a6c87b9775c3f92969170bc747ac5b1fb15b0983a6e2e14e1c35, most_recent_burn: 20000, median_burn: 20000, all_burns: [1, 1, 20000, 20000, 20000, 20000]
